experiment_id,lambda_joint_soft_group,decoder_name,cohort,metric_family,class_name,precision,sensitivity,specificity,accuracy,support
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,stage_fused,macro_avg,0.3947308909995477,0.37373188405797103,0.7047135254682425,0.8624813153961135,
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,stage_fused,weighted_avg,0.7531312556662265,0.7937219730941705,0.32041860331055694,0.7961953789539302,
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,joint6_fused,00,0.7979274611398963,1.0,0.15217391304347827,0.805,154.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,joint6_fused,11,0.0,0.0,1.0,0.945,11.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,joint6_fused,12,0.0,0.0,1.0,0.935,13.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,joint6_fused,21,0.0,0.0,1.0,0.995,1.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,joint6_fused,22,0.0,0.0,1.0,0.92,16.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,joint6_fused,32,0.42857142857142855,0.6,0.9794871794871794,0.97,5.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,joint6_fused,macro_avg,0.20441648161855416,0.26666666666666666,0.8552768487551097,0.9283333333333333,
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,joint6_fused,weighted_avg,0.6251184307920059,0.785,0.34666109253065774,0.835425,
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,grade_fused,grade0,0.7979274611398963,1.0,0.15217391304347827,0.805,154.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,grade_fused,grade1,0.0,0.0,1.0,0.88,24.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,grade_fused,grade2,0.0,0.0,1.0,0.915,17.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,grade_fused,grade3,0.42857142857142855,0.6,0.9794871794871794,0.97,5.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,grade_fused,macro_avg,0.30662472242783123,0.4,0.7829152731326645,0.8925000000000001,
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,grade_fused,weighted_avg,0.6251184307920059,0.785,0.34666109253065774,0.8274750000000001,
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,stage_fused,stage0,0.7979274611398963,1.0,0.15217391304347827,0.805,154.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,stage_fused,stage1,0.0,0.0,1.0,0.94,12.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,stage_fused,stage2,1.0,0.20588235294117646,1.0,0.865,34.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,stage_fused,macro_avg,0.5993091537132987,0.40196078431372545,0.7173913043478262,0.8700000000000001,
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,stage_fused,weighted_avg,0.7844041450777203,0.805,0.3471739130434783,0.8233,
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,joint6_fused,00,0.25,0.8823529411764706,0.20588235294117646,0.36199095022624433,51.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,joint6_fused,11,0.0,0.0,1.0,0.9638009049773756,8.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,joint6_fused,12,0.0,0.0,0.9857142857142858,0.9366515837104072,11.0
