experiment_id,lambda_joint_soft_group,decoder_name,cohort,matrix_type,true_label,pred_label,count,row_sum,row_percent
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,stage,0,1,64,419,0.15274463007159905
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,stage,0,2,84,419,0.20047732696897375
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,stage,1,0,3,3,1.0
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,stage,1,1,0,3,0.0
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,stage,1,2,0,3,0.0
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,stage,2,0,22,84,0.2619047619047619
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,stage,2,1,19,84,0.2261904761904762
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,stage,2,2,43,84,0.5119047619047619
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,stage,0,0,229,368,0.6222826086956522
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,stage,0,1,58,368,0.15760869565217392
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,stage,0,2,81,368,0.22010869565217392
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,stage,1,0,3,3,1.0
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,stage,1,1,0,3,0.0
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,stage,1,2,0,3,0.0
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,stage,2,0,17,75,0.22666666666666666
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,stage,2,1,16,75,0.21333333333333335
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,stage,2,2,42,75,0.56
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hebei,stage,0,0,154,154,1.0
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hebei,stage,0,1,0,154,0.0
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hebei,stage,0,2,0,154,0.0
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hebei,stage,1,0,7,12,0.5833333333333334
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hebei,stage,1,1,3,12,0.25
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hebei,stage,1,2,2,12,0.16666666666666666
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hebei,stage,2,0,10,34,0.29411764705882354
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hebei,stage,2,1,10,34,0.29411764705882354
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hebei,stage,2,2,14,34,0.4117647058823529
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL,stage,0,0,31,51,0.6078431372549019
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL,stage,0,1,8,51,0.1568627450980392
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL,stage,0,2,12,51,0.23529411764705882
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL,stage,1,0,16,20,0.8
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL,stage,1,1,2,20,0.1
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL,stage,1,2,2,20,0.1
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL,stage,2,0,52,150,0.3466666666666667
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL,stage,2,1,28,150,0.18666666666666668
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL,stage,2,2,70,150,0.4666666666666667
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,stage,0,0,27,47,0.574468085106383
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,stage,0,1,8,47,0.1702127659574468
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,stage,0,2,12,47,0.2553191489361702
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,stage,1,0,14,18,0.7777777777777778
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,stage,1,1,2,18,0.1111111111111111
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,stage,1,2,2,18,0.1111111111111111
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,stage,2,0,42,138,0.30434782608695654
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,stage,2,1,27,138,0.1956521739130435
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,stage,2,2,69,138,0.5
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,internal,stage,0,0,891,1466,0.6077762619372442
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,internal,stage,0,1,132,1466,0.09004092769440655
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,internal,stage,0,2,443,1466,0.30218281036834926
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,internal,stage,1,0,72,191,0.3769633507853403
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,internal,stage,1,1,22,191,0.11518324607329843
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,internal,stage,1,2,97,191,0.5078534031413613
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,internal,stage,2,0,269,2224,0.12095323741007194
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,internal,stage,2,1,193,2224,0.08678057553956835
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,internal,stage,2,2,1762,2224,0.7922661870503597
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan,stage,0,0,165,419,0.3937947494033413
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan,stage,0,1,235,419,0.5608591885441527
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan,stage,0,2,19,419,0.045346062052505964
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan,stage,1,0,1,3,0.3333333333333333
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan,stage,1,1,2,3,0.6666666666666666
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan,stage,1,2,0,3,0.0
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan,stage,2,0,15,84,0.17857142857142858
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan,stage,2,1,58,84,0.6904761904761905
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan,stage,2,2,11,84,0.13095238095238096
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan_have_bmi,stage,0,0,133,368,0.36141304347826086
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan_have_bmi,stage,0,1,216,368,0.5869565217391305
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan_have_bmi,stage,0,2,19,368,0.051630434782608696
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan_have_bmi,stage,1,0,1,3,0.3333333333333333
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan_have_bmi,stage,1,1,2,3,0.6666666666666666
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan_have_bmi,stage,1,2,0,3,0.0
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan_have_bmi,stage,2,0,11,75,0.14666666666666667
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan_have_bmi,stage,2,1,53,75,0.7066666666666667
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan_have_bmi,stage,2,2,11,75,0.14666666666666667
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hebei,stage,0,0,142,154,0.922077922077922
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hebei,stage,0,1,12,154,0.07792207792207792
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hebei,stage,0,2,0,154,0.0
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hebei,stage,1,0,3,12,0.25
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hebei,stage,1,1,9,12,0.75
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hebei,stage,1,2,0,12,0.0
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hebei,stage,2,0,3,34,0.08823529411764706
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hebei,stage,2,1,28,34,0.8235294117647058
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hebei,stage,2,2,3,34,0.08823529411764706
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL,stage,0,0,15,51,0.29411764705882354
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL,stage,0,1,31,51,0.6078431372549019
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL,stage,0,2,5,51,0.09803921568627451
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL,stage,1,0,7,20,0.35
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL,stage,1,1,13,20,0.65
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL,stage,1,2,0,20,0.0
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL,stage,2,0,24,150,0.16
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL,stage,2,1,100,150,0.6666666666666666
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL,stage,2,2,26,150,0.17333333333333334
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL_have_bmi,stage,0,0,11,47,0.23404255319148937
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL_have_bmi,stage,0,1,31,47,0.6595744680851063
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL_have_bmi,stage,0,2,5,47,0.10638297872340426
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL_have_bmi,stage,1,0,7,18,0.3888888888888889
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL_have_bmi,stage,1,1,11,18,0.6111111111111112
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL_have_bmi,stage,1,2,0,18,0.0
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL_have_bmi,stage,2,0,16,138,0.11594202898550725
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL_have_bmi,stage,2,1,96,138,0.6956521739130435
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL_have_bmi,stage,2,2,26,138,0.18840579710144928
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,internal,stage,0,0,684,1466,0.4665757162346521
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,internal,stage,0,1,564,1466,0.38472032742155526
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,internal,stage,0,2,218,1466,0.14870395634379263
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,internal,stage,1,0,43,191,0.225130890052356
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,internal,stage,1,1,112,191,0.5863874345549738
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,internal,stage,1,2,36,191,0.18848167539267016
