experiment_id,lambda_joint_soft_group,decoder_name,cohort,QWK_grade_raw,QWK_grade_final,QWK_stage_raw,QWK_stage_final,MAE_grade_raw,MAE_grade_final,MAE_stage_raw,MAE_stage_final,invalid_rate_raw,invalid_rate_final
grandBatch128,joint_ce_on,decoder_non_qwk,handan,0.11850731215330312,0.11850731215330312,0.21189832921313068,0.21189832921313068,0.5177865612648221,0.5177865612648221,0.4051383399209486,0.4051383399209486,0.05138339920948617,0.05138339920948617
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,0.12775228061804278,0.12775228061804278,0.22557122932482143,0.22557122932482143,0.5358744394618834,0.5358744394618834,0.4192825112107623,0.4192825112107623,0.05829596412556054,0.05829596412556054
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,0.3646688406611941,0.3646688406611941,0.41176470588235303,0.41176470588235303,0.325,0.325,0.29,0.29,0.03,0.03
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,0.08682565408659415,0.08682565408659415,0.11173633440514474,0.11173633440514474,1.6470588235294117,1.6470588235294117,1.085972850678733,1.085972850678733,0.10407239819004525,0.10407239819004525
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,0.0951542037229639,0.0951542037229639,0.11837274195917169,0.11837274195917169,1.625615763546798,1.625615763546798,1.064039408866995,1.064039408866995,0.10837438423645321,0.10837438423645321
grandBatch128,joint_ce_on,decoder_non_qwk,internal,0.299057441877735,0.299057441877735,0.4410983799199628,0.4410983799199628,0.9708837928368977,0.9708837928368977,0.5681525380056687,0.5681525380056687,0.11028085544962639,0.11028085544962639
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,0.11850731215330312,0.18771593090211136,0.21189832921313068,0.27373735668090715,0.5177865612648221,0.525691699604743,0.4051383399209486,0.5889328063241107,0.05138339920948617,0.11462450592885376
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,0.12775228061804278,0.19292208949901946,0.22557122932482143,0.27784874367348633,0.5358744394618834,0.5426008968609866,0.4192825112107623,0.6121076233183856,0.05829596412556054,0.11659192825112108
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hebei,0.3646688406611941,0.4912182882631726,0.41176470588235303,0.6878306878306879,0.325,0.245,0.29,0.195,0.03,0.025
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL,0.08682565408659415,0.08525161571418194,0.11173633440514474,0.22000592025866972,1.6470588235294117,1.506787330316742,1.085972850678733,0.8235294117647058,0.10407239819004525,0.09502262443438914
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,0.0951542037229639,0.09511707867306307,0.11837274195917169,0.23931623931623935,1.625615763546798,1.477832512315271,1.064039408866995,0.7832512315270936,0.10837438423645321,0.09852216748768473
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,internal,0.299057441877735,0.375122591536009,0.4410983799199628,0.5089652453920281,0.9708837928368977,0.642617881989178,0.5681525380056687,0.49420252512239116,0.11028085544962639,0.05179077557330585
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan,0.11850731215330312,0.16327720912942323,0.21189832921313068,0.16352061019399178,0.5177865612648221,0.6798418972332015,0.4051383399209486,0.7154150197628458,0.05138339920948617,0.13636363636363635
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan_have_bmi,0.12775228061804278,0.1675306468440272,0.22557122932482143,0.1647057693600592,0.5358744394618834,0.695067264573991,0.4192825112107623,0.7399103139013453,0.05829596412556054,0.14798206278026907
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hebei,0.3646688406611941,0.657555964233623,0.41176470588235303,0.6666666666666667,0.325,0.22,0.29,0.245,0.03,0.045
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL,0.08682565408659415,0.09897160938736049,0.11173633440514474,0.12846230281952553,1.6470588235294117,1.3800904977375565,1.085972850678733,0.8868778280542986,0.10407239819004525,0.13574660633484162
