experiment_id,lambda_joint_soft_group,decoder_name,cohort,matrix_type,true_label,pred_label,count,row_sum,row_percent
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade,2,1,1,56,0.017857142857142856
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade,2,2,0,56,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade,2,3,7,56,0.125
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade,3,0,75,95,0.7894736842105263
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade,3,1,4,95,0.042105263157894736
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade,3,2,0,95,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade,3,3,16,95,0.16842105263157894
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,0,0,43,47,0.9148936170212766
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,0,1,3,47,0.06382978723404255
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,0,2,0,47,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,0,3,1,47,0.02127659574468085
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,1,0,16,18,0.8888888888888888
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,1,1,0,18,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,1,2,0,18,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,1,3,2,18,0.1111111111111111
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,2,0,42,50,0.84
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,2,1,1,50,0.02
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,2,2,0,50,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,2,3,7,50,0.14
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,3,0,68,88,0.7727272727272727
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,3,1,4,88,0.045454545454545456
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,3,2,0,88,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,3,3,16,88,0.18181818181818182
grandBatch128,joint_ce_on,decoder_non_qwk,internal,grade,0,0,1223,1466,0.8342428376534788
grandBatch128,joint_ce_on,decoder_non_qwk,internal,grade,0,1,63,1466,0.042974079126875855
grandBatch128,joint_ce_on,decoder_non_qwk,internal,grade,0,2,0,1466,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,internal,grade,0,3,180,1466,0.12278308321964529
grandBatch128,joint_ce_on,decoder_non_qwk,internal,grade,1,0,667,1384,0.4819364161849711
grandBatch128,joint_ce_on,decoder_non_qwk,internal,grade,1,1,205,1384,0.14812138728323698
grandBatch128,joint_ce_on,decoder_non_qwk,internal,grade,1,2,2,1384,0.001445086705202312
grandBatch128,joint_ce_on,decoder_non_qwk,internal,grade,1,3,510,1384,0.3684971098265896
grandBatch128,joint_ce_on,decoder_non_qwk,internal,grade,2,0,328,742,0.4420485175202156
grandBatch128,joint_ce_on,decoder_non_qwk,internal,grade,2,1,78,742,0.10512129380053908
grandBatch128,joint_ce_on,decoder_non_qwk,internal,grade,2,2,0,742,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,internal,grade,2,3,336,742,0.4528301886792453
grandBatch128,joint_ce_on,decoder_non_qwk,internal,grade,3,0,114,289,0.3944636678200692
grandBatch128,joint_ce_on,decoder_non_qwk,internal,grade,3,1,32,289,0.11072664359861592
grandBatch128,joint_ce_on,decoder_non_qwk,internal,grade,3,2,0,289,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,internal,grade,3,3,143,289,0.49480968858131485
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,grade,0,0,315,419,0.7517899761336515
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,grade,0,1,95,419,0.22673031026252982
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,grade,0,2,9,419,0.021479713603818614
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,grade,0,3,0,419,0.0
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,grade,1,0,3,5,0.6
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,grade,1,1,2,5,0.4
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,grade,1,2,0,5,0.0
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,grade,1,3,0,5,0.0
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,grade,2,0,16,46,0.34782608695652173
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,grade,2,1,28,46,0.6086956521739131
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,grade,2,2,2,46,0.043478260869565216
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,grade,2,3,0,46,0.0
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,grade,3,0,18,36,0.5
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,grade,3,1,18,36,0.5
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,grade,3,2,0,36,0.0
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,grade,3,3,0,36,0.0
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,grade,0,0,268,368,0.7282608695652174
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,grade,0,1,91,368,0.24728260869565216
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,grade,0,2,9,368,0.024456521739130436
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,grade,0,3,0,368,0.0
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,grade,1,0,3,5,0.6
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,grade,1,1,2,5,0.4
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,grade,1,2,0,5,0.0
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,grade,1,3,0,5,0.0
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,grade,2,0,14,42,0.3333333333333333
