experiment_id,lambda_joint_soft_group,decoder_name,cohort,MAE_grade_fused,QWK_grade_fused,MAE_stage_fused,QWK_stage_fused,ACC_grade_fused,ACC_stage_fused,ACC_joint6_fused,AUROC_grade_any_htn_fused,AUROC_grade_ge2_fused,AUROC_grade_ge3_fused,AUROC_stage_any_htn_fused,AUROC_stage_ge2_fused
grandBatch128,joint_ce_on,decoder_non_qwk,handan,0.5237154150197628,0.13595706618962422,0.3932806324110672,0.1328624606280424,0.7845849802371542,0.8003952569169961,0.7845849802371542,0.7103119084848983,0.7006442705936493,0.6040189125295509,0.7103119084848983,0.7164014895057549
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,0.5426008968609866,0.1462563605524595,0.40582959641255606,0.14242713142587815,0.7757847533632287,0.7937219730941704,0.7757847533632287,0.7159977703455964,0.7068566601784861,0.6165565487757482,0.7159977703455964,0.7243126684636119
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,0.32,0.4043428818974387,0.33,0.27184466019417486,0.785,0.805,0.785,0.9717673630717109,0.9525025536261491,0.9548717948717949,0.9717673630717109,0.9624379872430899
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,1.6334841628959276,0.07533884879422637,1.1945701357466063,0.07050602728838262,0.29411764705882354,0.3574660633484163,0.29411764705882354,0.6249134948096885,0.6236518448438978,0.579281537176274,0.6249134948096885,0.6731455399061033
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,1.6157635467980296,0.08174404486897091,1.1822660098522169,0.07280276816608999,0.30049261083743845,0.3645320197044335,0.30049261083743845,0.6305237315875614,0.6352285395763657,0.5979249011857707,0.6305237315875614,0.691638795986622
grandBatch128,joint_ce_on,decoder_non_qwk,internal,1.0350425148157691,0.30155283558584967,0.6482865240917289,0.37896449029405954,0.38649832517392424,0.6511208451430044,0.3857253285235764,0.8036120314428638,0.6848227746864737,0.6853436317537627,0.8036120314428638,0.8039854628065803
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,0.5237154150197628,0.13595706618962422,0.3932806324110672,0.1328624606280424,0.7845849802371542,0.8003952569169961,0.7845849802371542,0.7103119084848983,0.7006442705936493,0.6040189125295509,0.7103119084848983,0.7164014895057549
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,0.5426008968609866,0.1462563605524595,0.40582959641255606,0.14242713142587815,0.7757847533632287,0.7937219730941704,0.7757847533632287,0.7159977703455964,0.7068566601784861,0.6165565487757482,0.7159977703455964,0.7243126684636119
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hebei,0.32,0.4043428818974387,0.33,0.27184466019417486,0.785,0.805,0.785,0.9717673630717109,0.9525025536261491,0.9548717948717949,0.9717673630717109,0.9624379872430899
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL,1.6334841628959276,0.07533884879422637,1.1945701357466063,0.07050602728838262,0.29411764705882354,0.3574660633484163,0.29411764705882354,0.6249134948096885,0.6236518448438978,0.579281537176274,0.6249134948096885,0.6731455399061033
